family,src,target,w,h,half,slope,t,n,p,sign
成本,11,サービス業,1,6,H2,-9.33574,-4.35548,114,1e-05,-1
成本,11,サービス業,3,1,H1,0.11271,0.48938,119,0.62457,-1
成本,11,サービス業,3,1,H2,-0.73687,-1.98961,119,0.04663,-1
成本,11,サービス業,3,3,H1,0.0212,0.04358,119,0.96524,-1
成本,11,サービス業,3,3,H2,-2.92922,-3.36046,117,0.00078,-1
成本,11,サービス業,3,6,H1,-0.79892,-1.05617,119,0.29089,-1
成本,11,サービス業,3,6,H2,-6.4676,-5.01036,114,0.0,-1
成本,11,サービス業,6,1,H1,-0.12781,-0.96169,119,0.33621,-1
成本,11,サービス業,6,1,H2,-0.55232,-2.92005,119,0.0035,-1
成本,11,サービス業,6,3,H1,-0.36535,-1.08605,119,0.27746,-1
成本,11,サービス業,6,3,H2,-1.82201,-4.18407,117,3e-05,-1
成本,11,サービス業,6,6,H1,-0.72802,-1.26568,119,0.20563,-1
成本,11,サービス業,6,6,H2,-3.98871,-5.94934,114,0.0,-1
成本,35,サービス業,1,1,H1,0.08346,0.08947,119,0.92871,-1
成本,35,サービス業,1,1,H2,-0.84171,-1.0091,119,0.31293,-1
成本,35,サービス業,1,3,H1,-1.31568,-0.79028,119,0.42936,-1
成本,35,サービス業,1,3,H2,-2.09789,-0.9816,117,0.32629,-1
成本,35,サービス業,1,6,H1,-3.36172,-1.51619,119,0.12947,-1
成本,35,サービス業,1,6,H2,-6.85321,-1.92936,114,0.05369,-1
成本,35,サービス業,3,1,H1,-0.27749,-0.85291,119,0.39371,-1
成本,35,サービス業,3,1,H2,-0.43776,-0.87811,119,0.37988,-1
成本,35,サービス業,3,3,H1,-1.26549,-1.55118,119,0.12086,-1
成本,35,サービス業,3,3,H2,-2.33994,-1.65359,117,0.09821,-1
成本,35,サービス業,3,6,H1,-2.26478,-2.35537,119,0.0185,-1
成本,35,サービス業,3,6,H2,-4.79115,-2.60001,114,0.00932,-1
成本,35,サービス業,6,1,H1,-0.33621,-1.6135,119,0.10664,-1
成本,35,サービス業,6,1,H2,-0.31761,-1.15793,119,0.24689,-1
成本,35,サービス業,6,3,H1,-0.98312,-2.23377,119,0.0255,-1
成本,35,サービス業,6,3,H2,-1.42265,-2.1144,117,0.03448,-1
成本,35,サービス業,6,6,H1,-1.83484,-2.6342,119,0.00843,-1
成本,35,サービス業,6,6,H2,-3.17731,-2.65584,114,0.00791,-1
成本,46,サービス業,1,1,H1,0.03448,0.34043,119,0.73353,-1
成本,46,サービス業,1,1,H2,0.20204,2.72219,119,0.00649,-1
成本,46,サービス業,1,3,H1,0.01188,0.05867,119,0.95321,-1
成本,46,サービス業,1,3,H2,0.33433,1.71108,117,0.08707,-1
