family,src,target,w,h,L,p_H1,p_H2,slope_H1,slope_H2,t_H1,t_H2,found,rep
外部需求 → 日本,jp_exp,T5,6,3,3,0.7426,0.0655,0.0158,0.1256,0.3284,1.8419,False,False
外部需求 → 日本,jp_exp,T5,6,3,6,0.6644,0.5821,0.0226,-0.0492,0.4339,-0.5503,False,False
外部需求 → 日本,jp_exp,T5,6,6,0,0.4473,0.1925,0.086,0.1708,0.76,1.3031,False,False
外部需求 → 日本,jp_exp,T5,6,6,3,0.6946,0.5669,0.038,0.0788,0.3927,0.5727,False,False
外部需求 → 日本,jp_exp,T5,6,6,6,0.7855,0.1173,-0.0246,-0.1712,-0.2721,-1.566,False,False
外部需求 → 日本,jp_exp,T6,1,1,0,0.3265,0.5806,0.1022,0.0503,0.9812,0.5525,False,False
外部需求 → 日本,jp_exp,T6,1,1,3,0.7095,0.3975,0.0414,-0.0814,0.3726,-0.8461,False,False
外部需求 → 日本,jp_exp,T6,1,1,6,0.2983,0.7699,-0.1028,0.0254,-1.0401,0.2925,False,False
外部需求 → 日本,jp_exp,T6,1,3,0,0.232,0.6672,0.3262,0.0649,1.1952,0.43,False,False
外部需求 → 日本,jp_exp,T6,1,3,3,0.9326,0.8272,0.0177,0.0264,0.0846,0.2183,False,False
外部需求 → 日本,jp_exp,T6,1,3,6,0.9095,0.7356,-0.0195,-0.0409,-0.1136,-0.3377,False,False
外部需求 → 日本,jp_exp,T6,1,6,0,0.4546,0.8269,0.3692,0.041,0.7477,0.2187,False,False
外部需求 → 日本,jp_exp,T6,1,6,3,0.9998,0.9982,0.0001,-0.0003,0.0003,-0.0022,False,False
外部需求 → 日本,jp_exp,T6,1,6,6,0.2272,0.8668,0.3764,-0.0335,1.2075,-0.1677,False,False
外部需求 → 日本,jp_exp,T6,3,1,0,0.2442,0.6967,0.0742,0.0183,1.1646,0.3898,False,False
外部需求 → 日本,jp_exp,T6,3,1,3,0.8212,0.519,0.0101,-0.0326,0.226,-0.6449,False,False
